last_2_digits,frequency
00,96
01,109
02,88
03,91
04,84
05,96
06,92
07,79
08,91
09,103
10,98
11,87
12,77
13,79
14,91
15,97
16,93
17,104
18,90
19,89
20,71
21,87
22,91
23,87
24,101
25,81
26,78
27,84
28,66
29,89
30,90
31,72
32,103
33,81
34,96
35,81
36,116
37,80
38,93
39,112
40,67
41,82
42,80
43,93
44,84
45,88
46,80
47,86
48,95
49,91
50,86
51,77
52,83
53,84
54,101
55,92
56,89
57,93
58,78
59,93
60,101
61,82
62,85
63,81
64,94
65,107
66,99
67,90
68,94
69,75
70,108
71,92
72,72
73,86
74,71
75,81
76,88
77,88
78,95
79,94
80,90
81,90
82,102
83,87
84,87
85,88
86,81
87,81
88,92
89,90
90,80
91,97
92,88
93,82
94,94
95,81
96,99
97,96
98,93
99,83
