model,fold,n_days,brier_score,log_loss,hit_any_top1,recall_top1,hit_any_top3,recall_top3,hit_any_top5,recall_top5,hit_any_top10,recall_top10,brier_ten_thousands,brier_thousands,brier_hundreds,brier_tens,brier_units
uniform_27_iid,validation_2023_2024,723,0.11387451438911105,0.4081083862601125,0.972060857538036,0.11123715430186677,1.0,0.3107170166525378,1.0,0.5081618393011589,1.0,1.0,0.2794919711971002,0.0993295126473024,0.07109509750143858,0.061683625786150637,0.05777236481356343
expanding_beta,validation_2023_2024,723,0.0978203617261453,0.3299682521801381,0.9756569847856156,0.11165141292960115,1.0,0.3088938820418062,1.0,0.5070460409029885,1.0,1.0,0.20404448737199732,0.09547889115580559,0.07011380121330761,0.06168457376761755,0.057780055121998415
rolling_beta_w30,validation_2023_2024,723,0.10091950855809127,0.3435462083088902,0.9737206085753803,0.11144370469341817,1.0,0.3102785094733634,1.0,0.5086759433339413,1.0,1.0,0.20918860217842325,0.09899061527489626,0.07242406314834025,0.06406776776452283,0.059926494424273856
rolling_beta_w90,validation_2023_2024,723,0.09877906786729312,0.3351087655379711,0.9742738589211619,0.1115147470450195,1.0,0.31033421027526237,1.0,0.5087540456567387,1.0,1.0,0.20549446096003052,0.09654564969003862,0.07107256965960462,0.062287089474386034,0.05849556955240583
rolling_beta_w365,validation_2023_2024,723,0.09797283916607767,0.33093459606520853,0.9762102351313969,0.11172001686610651,1.0,0.31126441967598784,1.0,0.5093411020284698,1.0,1.0,0.20415081731186954,0.09567289418858652,0.07041372406225677,0.06171738578295636,0.057909374484719146
dirichlet_daily,validation_2023_2024,723,0.11270088908490568,0.39762113771316343,0.9756569847856156,0.11165141292960115,1.0,0.3088938820418062,1.0,0.5070460409029885,1.0,1.0,0.2742928595768297,0.09888354593045484,0.07087472060214235,0.061680504057043596,0.057772815258057914
markov_presence,validation_2023_2024,723,0.09785295929665005,0.33011775483311695,0.9742738589211619,0.11148512961169268,1.0,0.30833916970116404,1.0,0.5059701822918682,1.0,1.0,0.20412010460639937,0.09549353516456383,0.07016493360254357,0.06170555408957487,0.0577806690201687
random_forest,validation_2023_2024,723,0.09861497628380904,0.3335154916473062,0.9739972337482712,0.1114534033017656,0.9997233748271092,0.30917915419275077,1.0,0.5066719859121641,1.0,1.0,0.2060907381025023,0.09602778041934387,0.07082037401726163,0.062006344416492526,0.05812964446344484
uniform_27_iid,final_test_2025_2026,606,0.1123127933850505,0.4031869004309949,0.9759075907590761,0.11145709437037339,0.9996699669966996,0.30822140103323087,1.0,0.5048374871352354,1.0,1.0,0.2785534863938077,0.10166755602571777,0.0698776691170256,0.053836900493373585,0.057628354895327694
expanding_beta,final_test_2025_2026,606,0.09630724111336583,0.32509978221878594,0.9745874587458746,0.11129308750346568,1.0,0.31145184749424276,1.0,0.507334120382174,1.0,1.0,0.2036490669102649,0.09747858426585262,0.06894723718128778,0.05382173671911025,0.057639580490313605
rolling_beta_w30,final_test_2025_2026,606,0.0998664397689769,0.34069495592879373,0.9788778877887787,0.11179827612934966,1.0,0.3092695962353704,1.0,0.5071354836364317,1.0,1.0,0.21003571060231022,0.10135558477722773,0.07180925123762377,0.056211646555280534,0.059920005672442246
rolling_beta_w90,final_test_2025_2026,606,0.09739359711018361,0.33051990835332595,0.9815181518151816,0.1120919258223939,1.0,0.30778839472840247,1.0,0.5053810968174058,1.0,1.0,0.20581412170044983,0.09879238101031275,0.06960321563819898,0.054544134115679994,0.0582141330862765
rolling_beta_w365,final_test_2025_2026,606,0.09663757605927867,0.32681599305747333,0.9782178217821781,0.11170927256177474,1.0,0.3091069754344359,1.0,0.506477184361489,1.0,1.0,0.20435245434127713,0.09782521240044323,0.06904968240366569,0.054046891596033965,0.05791363955497332
dirichlet_daily,final_test_2025_2026,606,0.11113856129461111,0.3926931885482214,0.9745874587458746,0.11129308750346568,1.0,0.31145184749424276,1.0,0.507334120382174,1.0,1.0,0.2733654375591597,0.10120839284252371,0.06965651983947309,0.05383252147599679,0.057629934755902334
markov_presence,final_test_2025_2026,606,0.09631583275012821,0.3252028713515162,0.973927392739274,0.11121467485022635,1.0,0.3098116359511974,1.0,0.5068058997880239,1.0,1.0,0.20356160485098626,0.09756518002983233,0.06897901346738283,0.053845806437293434,0.0576275589651462
random_forest,final_test_2025_2026,606,0.09677804446138215,0.3273758385801126,0.9805280528052805,0.11199853620443356,1.0,0.3106464598983442,1.0,0.5079317876241428,1.0,1.0,0.20465539359375212,0.097928997706486,0.06932079763508799,0.05413356886696309,0.05785146450462152

