model,fold,mean_rank,median_rank,top1,top3,top5,top10
dirichlet_daily,final_test_2025_2026,5.43613777526821,5.0,0.11116130246565029,0.31131187652926784,0.5072463768115942,1.0
dirichlet_daily,validation_2023_2024,5.439835599114764,5.0,0.1115080619664875,0.30882073980398356,0.5070186531773633,1.0
expanding_beta,final_test_2025_2026,5.43613777526821,5.0,0.11116130246565029,0.31131187652926784,0.5072463768115942,1.0
expanding_beta,validation_2023_2024,5.439835599114764,5.0,0.1115080619664875,0.30882073980398356,0.5070186531773633,1.0
markov_presence,final_test_2025_2026,5.438584603801995,5.0,0.11108601543384151,0.30969320534537925,0.5067193675889328,1.0
markov_presence,validation_2023_2024,5.443218463484034,5.0,0.11134998419222257,0.3082516598166298,0.5059121087575087,1.0
random_forest,final_test_2025_2026,5.429964238659891,5.0,0.11183888575192923,0.31052136269527575,0.50781102955016,1.0
random_forest,validation_2023_2024,5.447549794498894,5.0,0.11131836863736959,0.30907366424280747,0.5065760354094214,1.0
rolling_beta_w30,final_test_2025_2026,5.43922454357237,5.0,0.1116506681724073,0.30920383963862225,0.5071710897797854,1.0
rolling_beta_w30,validation_2023_2024,5.428833386025925,5.0,0.11128675308251659,0.31014859310780907,0.5085361998103066,1.0
rolling_beta_w365,final_test_2025_2026,5.441746659137963,5.0,0.11157538114059853,0.30905326557500473,0.5064558629776021,1.0
rolling_beta_w365,validation_2023_2024,5.426398988302244,5.0,0.11157129307619348,0.31119190641795763,0.5092949731267784,1.0
rolling_beta_w90,final_test_2025_2026,5.4448334274421235,5.0,0.11195181629964239,0.30773574251835123,0.5054018445322793,1.0
rolling_beta_w90,validation_2023_2024,5.431520708188429,5.0,0.11134998419222257,0.31018020866266205,0.5086626620297187,1.0
uniform_27_iid,final_test_2025_2026,5.45142104272539,5.0,0.11131187652926783,0.3081498211932995,0.5047619047619047,1.0
uniform_27_iid,validation_2023_2024,5.434049952576668,5.0,0.11109705975339867,0.31059121087575087,0.5080303509326589,1.0

