model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,5,0.586016058921814,1.0,1
xgboost,validation_2023_2024,6,0.6495793461799622,0.8333333333333334,6
xgboost,validation_2023_2024,7,0.7292091250419617,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8656808137893677,1.0,10
xgboost,validation_2023_2024,9,0.9398348927497864,0.9333333333333333,30
xgboost,validation_2023_2024,5,0.5558567047119141,1.0,2
xgboost,validation_2023_2024,6,0.6571375131607056,0.6666666666666666,6
xgboost,validation_2023_2024,7,0.7067348957061768,0.0,1
xgboost,validation_2023_2024,8,0.8666101694107056,0.9375,16
xgboost,validation_2023_2024,9,0.9400372505187988,0.92,25
xgboost,validation_2023_2024,5,0.5628230571746826,0.6666666666666666,3
xgboost,validation_2023_2024,6,0.655194103717804,0.8,5
xgboost,validation_2023_2024,7,0.7043541073799133,1.0,2
xgboost,validation_2023_2024,8,0.8766090273857117,0.8333333333333334,12
xgboost,validation_2023_2024,9,0.9469371438026428,0.9642857142857143,28
xgboost,validation_2023_2024,6,0.6460267901420593,0.625,8
xgboost,validation_2023_2024,7,0.7708459496498108,1.0,3
xgboost,validation_2023_2024,8,0.8672052621841431,1.0,8
xgboost,validation_2023_2024,9,0.9365081191062927,1.0,31
xgboost,validation_2023_2024,5,0.5735400319099426,0.0,3
xgboost,validation_2023_2024,6,0.6473818421363831,0.6,5
xgboost,validation_2023_2024,7,0.7188527584075928,0.5,2
xgboost,validation_2023_2024,8,0.8781847953796387,0.875,8
xgboost,validation_2023_2024,9,0.9427714943885803,0.875,32
xgboost,validation_2023_2024,6,0.6576880812644958,0.625,8
xgboost,validation_2023_2024,7,0.7269276976585388,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.87603360414505,0.75,12
xgboost,validation_2023_2024,9,0.9371219873428345,1.0,27
xgboost,validation_2023_2024,6,0.6537848711013794,0.625,8
xgboost,validation_2023_2024,7,0.7639392614364624,1.0,5
xgboost,validation_2023_2024,8,0.857758641242981,0.7142857142857143,7
xgboost,validation_2023_2024,9,0.9454095959663391,0.9333333333333333,30
xgboost,validation_2023_2024,6,0.6430342793464661,0.42857142857142855,7
