model,fold,n_days,brier_score,log_loss,hit_any_top1,recall_top1,hit_any_top3,recall_top3,hit_any_top5,recall_top5,hit_any_top10,recall_top10,brier_ten_thousands,brier_thousands,brier_hundreds,brier_tens,brier_units
uniform_27_iid,validation_2023_2024,723,0.10633632173419894,0.356877035747011,0.8567081604426005,0.09921506231976723,0.9955739972337482,0.30141481892232086,1.0,0.5015016588210676,1.0,1.0,0.2268529265541931,0.10616776552578677,0.07920492599130076,0.061683625786150637,0.05777236481356343
expanding_beta,validation_2023_2024,723,0.10635074018109955,0.3569162566878397,0.8686030428769018,0.10058170859790912,0.9925311203319502,0.30076869726598787,0.9997233748271092,0.5006076001087646,1.0,1.0,0.22692502623685362,0.10617069255007353,0.07919335322895464,0.06168457376761755,0.057780055121998415
rolling_beta_w30,validation_2023_2024,723,0.10968061138485478,0.3695446572126922,0.8680497925311202,0.10051930538213312,0.9961272475795298,0.30099652503012136,0.9997233748271092,0.5027726785163502,1.0,1.0,0.23271605938796683,0.10991798495850623,0.08177475038900416,0.06406776776452283,0.059926494424273856
rolling_beta_w90,validation_2023_2024,723,0.1073901735313112,0.3617078399686058,0.8639004149377593,0.10006328564227499,0.995850622406639,0.3019309041470606,1.0,0.5017161739822869,1.0,1.0,0.22856837975563904,0.10740555721147187,0.08019427166265325,0.062287089474386034,0.05849556955240583
rolling_beta_w365,validation_2023_2024,723,0.10652700123773688,0.3578096853474938,0.8746887966804979,0.10130308907563271,0.9950207468879668,0.30206019994813,1.0,0.5023040915124264,1.0,1.0,0.22709908725029962,0.10640163543807343,0.07950752323263592,0.06171738578295636,0.057909374484719146
dirichlet_daily,validation_2023_2024,723,0.10634090492181085,0.35687696897402604,0.8686030428769018,0.10058170859790912,0.9925311203319502,0.30076869726598787,0.9997233748271092,0.5006076001087646,1.0,1.0,0.2268870038964891,0.10616722207486959,0.07919697932259405,0.061680504057043596,0.057772815258057914
markov_presence,validation_2023_2024,723,0.10638910054516254,0.3570950852841161,0.861134163208852,0.09973580570017467,0.9941908713692945,0.2999678425754658,0.9997233748271092,0.49922388027994885,1.0,1.0,0.22700260024272956,0.10620318980964306,0.0792534895636966,0.06170555408957487,0.0577806690201687
random_forest,validation_2023_2024,723,0.10715850167929582,0.3608052380776669,0.8639004149377593,0.09998264770329966,0.9936376210235132,0.299495242262149,0.9997233748271092,0.4988936234214396,1.0,1.0,0.2287523536264272,0.10689918545302426,0.07986568024722578,0.062096430477582905,0.05817885859221885
uniform_27_iid,final_test_2025_2026,606,0.10458879206124748,0.35145335674407585,0.8650165016501651,0.09991615360156088,0.9933993399339934,0.2992366276380092,1.0,0.4984020872843294,1.0,1.0,0.22625321879862215,0.10745089029912358,0.07777459581979038,0.053836900493373585,0.057628354895327694
expanding_beta,final_test_2025_2026,606,0.10457889858907184,0.35139456583811257,0.8719471947194717,0.10076338432728718,0.9937293729372938,0.301661466624414,0.9996699669966996,0.5012594064928401,1.0,1.0,0.22624663212456816,0.10744982025268722,0.07773672335867995,0.05382173671911025,0.057639580490313605
rolling_beta_w30,final_test_2025_2026,606,0.10836836711014851,0.3660918420766691,0.8679867986798679,0.10026699814617239,0.9937293729372938,0.3006753441230484,0.9993399339933994,0.5008577757101168,1.0,1.0,0.23318072529909245,0.11162560591996701,0.08090385210396038,0.056211646555280534,0.059920005672442246
rolling_beta_w90,final_test_2025_2026,606,0.10576163381933656,0.3565732004739703,0.863036303630363,0.09966031055574365,0.9920792079207922,0.2998072014783448,1.0,0.49874533042093905,1.0,1.0,0.22861322580745788,0.10890231272654677,0.07853436336072171,0.054544134115679994,0.0582141330862765
rolling_beta_w365,final_test_2025_2026,606,0.1049062011012927,0.3529806183980431,0.862046204620462,0.09956433164877267,0.993069306930693,0.3005684271117188,0.9993399339933994,0.5008051456388093,1.0,1.0,0.2268924166507334,0.10782135753537786,0.07785670016934503,0.054046891596033965,0.05791363955497332
dirichlet_daily,final_test_2025_2026,606,0.10458275214692068,0.35142314348689796,0.8719471947194717,0.10076338432728718,0.9937293729372938,0.301661466624414,0.9996699669966996,0.5012594064928401,1.0,1.0,0.22624282996023268,0.1074488895929116,0.07775958494956006,0.05383252147599679,0.057629934755902334
markov_presence,final_test_2025_2026,606,0.10458809431112247,0.35149823467600155,0.8706270627062704,0.10057448038443155,0.9947194719471947,0.30199651541172523,1.0,0.5011729237548024,1.0,1.0,0.22616201067281858,0.10754068373145269,0.07776441174890136,0.053845806437293434,0.0576275589651462
random_forest,final_test_2025_2026,606,0.10519697459597595,0.35446815779995205,0.866996699669967,0.10015491664716503,0.9947194719471947,0.30015254295022453,0.9993399339933994,0.5011361427248759,1.0,1.0,0.2273448903252887,0.1084080452214734,0.07829624931457342,0.054048027947655126,0.057887660170889164
