model,fold,mean_rank,median_rank,top1,top3,top5,top10
dirichlet_daily,final_test_2025_2026,5.491669526097068,5.0,0.10072820160890618,0.3016508444851119,0.5012390865073011,1.0
dirichlet_daily,validation_2023_2024,5.495242366962484,5.0,0.10059910934546502,0.3007721141831929,0.5006567776247076,1.0
expanding_beta,final_test_2025_2026,5.491669526097068,5.0,0.10072820160890618,0.3016508444851119,0.5012390865073011,1.0
expanding_beta,validation_2023_2024,5.495242366962484,5.0,0.10059910934546502,0.3007721141831929,0.5006567776247076,1.0
markov_presence,final_test_2025_2026,5.49285142399634,5.0,0.10057569865416142,0.3019939761332876,0.5011628350299288,1.0
markov_presence,validation_2023_2024,5.500849005222183,6.0,0.09973408515682568,0.29993912792746613,0.49924710857655463,1.0
random_forest,final_test_2025_2026,5.493385184337947,5.0,0.10015631552861337,0.3001639406763506,0.5011247092912425,1.0
random_forest,validation_2023_2024,5.505366353762855,6.0,0.10005446448595137,0.29958671066542786,0.4990228430461667,1.0
rolling_beta_w30,final_test_2025_2026,5.494757710930649,5.0,0.10027069274467193,0.3007358267566434,0.5009722063364977,1.0
rolling_beta_w30,validation_2023_2024,5.484541697369686,5.0,0.1005350334796399,0.3009963797135809,0.5027392432640246,1.0
rolling_beta_w365,final_test_2025_2026,5.496930878035762,5.0,0.09958442944832056,0.30062144954058484,0.5008578291204392,1.0
rolling_beta_w365,validation_2023_2024,5.483740749046872,5.0,0.10130394386954154,0.30214974529843336,0.5023547880690737,1.0
rolling_beta_w90,final_test_2025_2026,5.500590948949636,6.0,0.09969880666437912,0.2998589347668611,0.4988371649700713,1.0
rolling_beta_w90,validation_2023_2024,5.485438759491237,5.0,0.10005446448595137,0.30192547976804535,0.5017140294108224,1.0
uniform_27_iid,final_test_2025_2026,5.50844485111899,6.0,0.09992756109649624,0.2992870486865683,0.49841778184452323,1.0
uniform_27_iid,validation_2023_2024,5.493288053054817,5.0,0.09922147823022459,0.3013808349085317,0.5014577259475219,1.0
