year,total_draw_days,days_with_2plus_prizes,days_with_3plus_prizes,days_with_4plus_prizes,average_multi_win_patterns,max_simultaneous_prizes,average_max_total_payout,rate_days_with_2plus_prizes,rate_days_with_3plus_prizes,rate_days_with_4plus_prizes
2007,363,239,0,0,0.9807162534435262,2,25002038.567493115,0.6584022038567493,0.0,0.0
2008,364,235,1,0,1.0054945054945055,3,25002197.802197803,0.6456043956043956,0.0027472527472527475,0.0
2009,363,222,0,0,1.0303030303030303,2,25001487.603305787,0.6115702479338843,0.0,0.0
2010,361,221,0,0,0.9362880886426593,2,25001495.844875347,0.6121883656509696,0.0,0.0
2011,361,224,1,0,0.9473684210526315,3,25002936.288088642,0.6204986149584487,0.002770083102493075,0.0
2012,362,232,1,0,0.9447513812154696,3,25001325.96685083,0.6408839779005525,0.0027624309392265192,0.0
2013,361,233,3,0,1.0277008310249307,3,25002105.263157893,0.6454293628808865,0.008310249307479225,0.0
2014,361,215,0,0,0.9168975069252078,2,25001385.041551247,0.5955678670360111,0.0,0.0
2015,361,208,2,0,0.9002770083102493,3,25002770.083102494,0.5761772853185596,0.00554016620498615,0.0
2016,362,231,0,0,0.9696132596685083,2,25002928.17679558,0.638121546961326,0.0,0.0
2017,361,213,0,0,0.9002770083102493,2,25001828.254847646,0.590027700831025,0.0,0.0
2018,361,196,0,0,0.8698060941828255,2,25003157.89473684,0.5429362880886427,0.0,0.0
2019,361,231,0,0,1.0138504155124655,2,25001495.844875347,0.6398891966759003,0.0,0.0
2020,340,219,2,0,0.9647058823529412,3,25002411.76470588,0.6441176470588236,0.0058823529411764705,0.0
2021,361,225,1,0,0.9833795013850416,3,25001883.656509694,0.6232686980609419,0.002770083102493075,0.0
2022,361,226,2,0,0.9861495844875346,3,25002825.484764542,0.6260387811634349,0.00554016620498615,0.0
2023,361,231,3,0,1.0138504155124655,3,25002160.664819945,0.6398891966759003,0.008310249307479225,0.0
2024,362,248,2,0,1.0552486187845305,3,25001988.950276244,0.6850828729281768,0.0055248618784530384,0.0
2025,361,228,0,0,0.9833795013850416,2,25001606.648199446,0.631578947368421,0.0,0.0
2026,245,165,0,0,0.9877551020408163,2,25005061.224489797,0.673469387755102,0.0,0.0
