scope,position_left,position_right,chi2,dof,p_value,cramers_v,n_observations,q_value,reject_fdr_05
pooled,1,2,87.88739221843893,81.0,0.281444991668416,0.007140772096672205,191511,0.8893547092886497,False
pooled,1,3,104.89149597754022,81.0,0.03834754279087174,0.00845220432199519,163139,0.8436459413991783,False
pooled,1,4,77.64480914337693,81.0,0.5850178220973219,0.00779839054415512,141860,0.9545303943181801,False
pooled,1,5,67.20497637712627,81.0,0.8641423270646041,0.010260404482643353,70930,0.9545303943181801,False
pooled,2,3,87.40656069844349,81.0,0.2936578918162008,0.007715638353589663,163139,0.8893547092886497,False
pooled,2,4,113.29265686046207,81.0,0.010374569410087539,0.009419972791118919,141860,0.34285871584705674,False
pooled,2,5,78.0191171243361,81.0,0.5732150429958895,0.011055140873714344,70930,0.9545303943181801,False
pooled,3,4,72.18315751067325,81.0,0.7475112666750248,0.007519114621602096,141860,0.9545303943181801,False
pooled,3,5,67.03588482779094,81.0,0.8673999013849196,0.010247488472057312,70930,0.9545303943181801,False
pooled,4,5,57.11348514375687,81.0,0.9796957797463512,0.009458735832215917,70930,0.9796957797463512,False
Đặc biệt,1,2,89.80658389222897,81.0,0.2356808496507019,0.03750747718370482,7093,0.8893547092886497,False
Đặc biệt,1,3,101.69454457336155,81.0,0.05980798119183026,0.039912836515947,7093,0.8893547092886497,False
Đặc biệt,1,4,95.50598398560196,81.0,0.1293096774160259,0.03867934018893082,7093,0.8893547092886497,False
Đặc biệt,1,5,72.2208034384673,81.0,0.7464903880515633,0.03363527037827412,7093,0.9545303943181801,False
Đặc biệt,2,3,85.83457061506607,81.0,0.33553159766855045,0.03666864692990805,7093,0.8993857112575668,False
Đặc biệt,2,4,90.73093115128209,81.0,0.215405614844453,0.037700008605570615,7093,0.8893547092886497,False
Đặc biệt,2,5,87.29813679063199,81.0,0.2964515697628832,0.036979944299312,7093,0.8893547092886497,False
Đặc biệt,3,4,70.47349479757607,81.0,0.7918497835790053,0.03322589358238843,7093,0.9545303943181801,False
Đặc biệt,3,5,69.96396103858513,81.0,0.8042454455728592,0.03310556162842362,7093,0.9545303943181801,False
Đặc biệt,4,5,83.8487618835871,81.0,0.39223209575641854,0.03624199469340225,7093,0.8993857112575668,False
Giải nhất,1,2,71.71685847997301,81.0,0.7600036093548703,0.03351771423868704,7093,0.9545303943181801,False
Giải nhất,1,3,84.49240301452032,81.0,0.3734363445806922,0.03638082944460282,7093,0.8993857112575668,False
Giải nhất,1,4,69.88797821425429,81.0,0.8060598392812092,0.03308757996064232,7093,0.9545303943181801,False
Giải nhất,1,5,90.64555264463142,81.0,0.21722925021258588,0.037682266431137645,7093,0.8893547092886497,False
Giải nhất,2,3,91.30683956056744,81.0,0.20336709410700002,0.03781946845877457,7093,0.8893547092886497,False
Giải nhất,2,4,95.60481022885868,81.0,0.12784955085174216,0.03869934702713259,7093,0.8893547092886497,False
Giải nhất,2,5,81.91008069288826,81.0,0.45081720174034706,0.035820565867852115,7093,0.8993857112575668,False
Giải nhất,3,4,69.6019132128883,81.0,0.8128100476675999,0.033019793594201735,7093,0.9545303943181801,False
Giải nhất,3,5,78.13538440356776,81.0,0.5695427118425181,0.03498546429984994,7093,0.9545303943181801,False
Giải nhất,4,5,67.9171456285173,81.0,0.8498892368226847,0.03261771081961084,7093,0.9545303943181801,False
Giải nhì,1,2,66.11210802984243,81.0,0.8843340873230314,0.02275565129687233,14186,0.9545303943181801,False
Giải nhì,1,3,83.88999905011676,81.0,0.39101689783085436,0.025633261159123056,14186,0.8993857112575668,False
Giải nhì,1,4,81.06890597702082,81.0,0.4769469680911339,0.02519857162819543,14186,0.8993857112575668,False
Giải nhì,1,5,66.70561374224658,81.0,0.8736218635815091,0.022857564803216275,14186,0.9545303943181801,False
Giải nhì,2,3,81.49953772720687,81.0,0.46352808553122515,0.025265409416960125,14186,0.8993857112575668,False
