scope,suffix_length,n_observations,support_size,chi2,p_value,expected_count,valid_chi_square,q_value,reject_fdr_05
pooled,1,191511,10,14.935794810741942,0.09271474816852421,19151.1,True,0.36294118660998326,False
pooled,2,191511,100,107.9028306468036,0.2540741708604442,1915.11,True,0.5623255319750174,False
pooled,3,191511,1000,37467.58086480672,0.0,191.511,True,0.0,True
pooled,4,191511,10000,499502.51880570845,0.0,19.1511,True,0.0,True
pooled,5,191511,100000,,,1.91511,False,,False
Đặc biệt,1,7093,10,6.3218666290709145,0.7073221902933906,709.3,True,0.9077531939694086,False
Đặc biệt,2,7093,100,107.38065698576061,0.26544730333167815,70.93,True,0.5623255319750174,False
Đặc biệt,3,7093,1000,1050.66276610743,0.12480418025852087,7.093,True,0.36294118660998326,False
Đặc biệt,4,7093,10000,,,0.7093,False,,False
Đặc biệt,5,7093,100000,,,0.07093,False,,False
Giải nhất,1,7093,10,3.344283096010151,0.9490690511286144,709.3,True,0.9840038836072297,False
Giải nhất,2,7093,100,91.7032285351755,0.6858704323683619,70.93,True,0.9077531939694086,False
Giải nhất,3,7093,1000,1019.3643028337798,0.3201003308752996,7.093,True,0.5755643706776306,False
Giải nhất,4,7093,10000,,,0.7093,False,,False
Giải nhất,5,7093,100000,,,0.07093,False,,False
Giải nhì,1,14186,10,2.377273368109404,0.9840038836072297,1418.6,True,0.9840038836072297,False
Giải nhì,2,14186,100,73.04412801353445,0.9765701271100405,141.86,True,0.9840038836072297,False
Giải nhì,3,14186,1000,964.8529536162414,0.7757316564105055,14.186,True,0.9077531939694086,False
Giải nhì,4,14186,10000,,,1.4186,False,,False
Giải nhì,5,14186,100000,,,0.14186,False,,False
Giải ba,1,42558,10,7.282673057944452,0.6077149738951004,4255.8,True,0.9077531939694086,False
Giải ba,2,42558,100,79.26678885285963,0.9278441926492378,425.58,True,0.9840038836072297,False
Giải ba,3,42558,1000,975.6716950984539,0.6953496396985799,42.558,True,0.9077531939694086,False
Giải ba,4,42558,10000,,,4.2558,False,,False
Giải ba,5,42558,100000,,,0.42558,False,,False
Giải tư,1,28372,10,27.594670802199357,0.0011144975410575652,2837.2,True,0.007801482787402956,True
Giải tư,2,28372,100,137.6151134921754,0.00625137950615726,283.72,True,0.03500772523448066,True
Giải tư,3,28372,1000,1050.8112223318767,0.12414505576188029,28.372,True,0.36294118660998326,False
Giải tư,4,28372,10000,,,2.8372,False,,False
Giải tư,5,28372,100000,,,0.28372,False,,False
Giải năm,1,42558,10,10.921001926782273,0.2811627659875087,4255.8,True,0.5623255319750174,False
Giải năm,2,42558,100,121.31293763804692,0.06341602562066996,425.58,True,0.29594145289645984,False
Giải năm,3,42558,1000,1049.594341839372,0.1296218523607083,42.558,True,0.36294118660998326,False
Giải năm,4,42558,10000,,,4.2558,False,,False
Giải năm,5,42558,100000,,,0.42558,False,,False
Giải sáu,1,21279,10,5.611588890455378,0.7780741662594931,2127.9,True,0.9077531939694086,False
Giải sáu,2,21279,100,107.28225010573804,0.2676233710926258,212.79,True,0.5623255319750174,False
Giải sáu,3,21279,1000,998.0336951924432,0.5026762916945661,21.279,True,0.8279374216145794,False
Giải sáu,4,21279,10000,,,2.1279,False,,False
Giải sáu,5,21279,100000,,,0.21279,False,,False
Giải bảy,1,28372,10,5.859861835612576,0.7538578915347792,2837.2,True,0.9077531939694086,False
Giải bảy,2,28372,100,104.67418581700267,0.3288939261015032,283.72,True,0.5755643706776306,False
Giải bảy,3,28372,1000,256394.74185817002,0.0,28.372,True,0.0,True
Giải bảy,4,28372,10000,,,2.8372,False,,False
Giải bảy,5,28372,100000,,,0.28372,False,,False
