model,fold,n_days,brier_score,any_hit_top1,digit_recall_top1,any_hit_top3,digit_recall_top3,any_hit_top5,digit_recall_top5
uniform_27_iid,validation_2023_2024,723,0.11387451438911105,0.972060857538036,0.11123715430186677,1.0,0.3107170166525378,1.0,0.5081618393011589
expanding_frequency,validation_2023_2024,723,0.09784032907028861,0.9717842323651451,0.11119744438150689,1.0,0.3087875731542792,1.0,0.5056949440666125
rolling_frequency_w30,validation_2023_2024,723,0.10017279852466573,0.9739972337482712,0.11144491627971954,1.0,0.3088932873059304,1.0,0.5090817307437895
rolling_frequency_w90,validation_2023_2024,723,0.09894140669023105,0.9767634854771785,0.11179128854679529,1.0,0.31076143644916077,1.0,0.5062745099069416
rolling_frequency_w365,validation_2023_2024,723,0.09811821939350616,0.9739972337482712,0.11144491627971954,1.0,0.3091581962024407,1.0,0.5066222929413352
markov_presence,validation_2023_2024,723,0.09781329516204765,0.9775933609958506,0.1118778669842437,1.0,0.3095072957718302,1.0,0.5076759551434059
random_forest,validation_2023_2024,723,0.09910685103384465,0.9709543568464731,0.11111286705279388,1.0,0.307758070719141,1.0,0.505669515784369
uniform_27_iid,final_test_2025_2026,606,0.1123127933850505,0.9759075907590761,0.11145709437037339,0.9996699669966996,0.30822140103323087,1.0,0.5048374871352354
expanding_frequency,final_test_2025_2026,606,0.09630925843564492,0.9742574257425742,0.11124696329615343,1.0,0.31123037780036295,1.0,0.5072116278767113
rolling_frequency_w30,final_test_2025_2026,606,0.10005170517051705,0.976897689768977,0.11157252429834368,1.0,0.30783605764086436,1.0,0.5054857246312193
rolling_frequency_w90,final_test_2025_2026,606,0.09754313653587582,0.9716171617161715,0.11096439645313155,1.0,0.30890899254250004,1.0,0.505419532204893
rolling_frequency_w365,final_test_2025_2026,606,0.09678422852230802,0.9716171617161715,0.11096439645313155,1.0,0.3086371242472472,1.0,0.5060198351822227
markov_presence,final_test_2025_2026,606,0.09630572393371964,0.9742574257425742,0.11124696329615343,1.0,0.31126851584027443,1.0,0.5078298356899346
random_forest,final_test_2025_2026,606,0.09723486485230518,0.9821782178217823,0.11218201958517444,1.0,0.30956312644302936,1.0,0.5071652269398502

