date,year,month,day,full_result,last_2_digits
2002-01-05,2002,1,5,15170,70
2002-01-06,2002,1,6,65651,51
2002-01-07,2002,1,7,48070,70
2002-01-08,2002,1,8,47407,07
2002-01-09,2002,1,9,16675,75
2002-01-10,2002,1,10,87613,13
2002-01-11,2002,1,11,81899,99
2002-01-12,2002,1,12,85954,54
2002-01-13,2002,1,13,66694,94
2002-01-14,2002,1,14,11997,97
2002-01-15,2002,1,15,86525,25
2002-01-16,2002,1,16,36080,80
2002-01-17,2002,1,17,78963,63
2002-01-18,2002,1,18,26892,92
2002-01-19,2002,1,19,85114,14
2002-01-20,2002,1,20,82892,92
2002-01-21,2002,1,21,34605,05
2002-01-22,2002,1,22,36123,23
2002-01-23,2002,1,23,95375,75
2002-01-24,2002,1,24,21631,31
2002-01-25,2002,1,25,74392,92
2002-01-26,2002,1,26,28322,22
2002-01-27,2002,1,27,74052,52
2002-01-28,2002,1,28,39159,59
2002-01-29,2002,1,29,68334,34
2002-01-30,2002,1,30,32241,41
2002-01-31,2002,1,31,91742,42
2002-02-01,2002,2,1,41809,09
2002-02-02,2002,2,2,40400,00
2002-02-03,2002,2,3,98256,56
2002-02-04,2002,2,4,63414,14
2002-02-05,2002,2,5,92524,24
2002-02-06,2002,2,6,61884,84
2002-02-07,2002,2,7,02200,00
2002-02-08,2002,2,8,95965,65
2002-02-09,2002,2,9,39699,99
2002-02-15,2002,2,15,42649,49
2002-02-16,2002,2,16,53144,44
2002-02-17,2002,2,17,26450,50
2002-02-18,2002,2,18,50388,88
2002-02-19,2002,2,19,45406,06
2002-02-20,2002,2,20,19170,70
2002-02-21,2002,2,21,30315,15
2002-02-22,2002,2,22,75903,03
2002-02-23,2002,2,23,95575,75
2002-02-24,2002,2,24,75141,41
2002-02-25,2002,2,25,58827,27
2002-02-26,2002,2,26,67209,09
2002-02-27,2002,2,27,77930,30
2002-02-28,2002,2,28,65621,21
2002-03-01,2002,3,1,04144,44
2002-03-02,2002,3,2,52726,26
2002-03-03,2002,3,3,41355,55
2002-03-04,2002,3,4,55928,28
2002-03-05,2002,3,5,86110,10
2002-03-06,2002,3,6,24464,64
2002-03-07,2002,3,7,25240,40
2002-03-08,2002,3,8,20796,96
2002-03-09,2002,3,9,34197,97
2002-03-10,2002,3,10,46057,57
2002-03-11,2002,3,11,09630,30
2002-03-12,2002,3,12,58410,10
2002-03-13,2002,3,13,56921,21
2002-03-14,2002,3,14,10761,61
2002-03-15,2002,3,15,11889,89
2002-03-16,2002,3,16,52596,96
2002-03-17,2002,3,17,44180,80
2002-03-18,2002,3,18,77855,55
2002-03-19,2002,3,19,88049,49
2002-03-20,2002,3,20,74016,16
2002-03-21,2002,3,21,33845,45
2002-03-22,2002,3,22,23521,21
2002-03-23,2002,3,23,80139,39
2002-03-24,2002,3,24,70220,20
2002-03-25,2002,3,25,35837,37
2002-03-26,2002,3,26,04984,84
2002-03-27,2002,3,27,36533,33
2002-03-28,2002,3,28,26548,48
2002-03-29,2002,3,29,60333,33
2002-03-30,2002,3,30,17887,87
2002-03-31,2002,3,31,80920,20
2002-04-01,2002,4,1,47133,33
2002-04-02,2002,4,2,25702,02
2002-04-03,2002,4,3,61937,37
2002-04-04,2002,4,4,27773,73
2002-04-05,2002,4,5,18679,79
2002-04-06,2002,4,6,84477,77
2002-04-07,2002,4,7,34192,92
2002-04-08,2002,4,8,20998,98
2002-04-09,2002,4,9,67373,73
2002-04-10,2002,4,10,44323,23
2002-04-11,2002,4,11,54072,72
2002-04-12,2002,4,12,51046,46
2002-04-13,2002,4,13,96919,19
2002-04-14,2002,4,14,35230,30
2002-04-15,2002,4,15,06915,15
2002-04-16,2002,4,16,41778,78
2002-04-17,2002,4,17,58595,95
2002-04-18,2002,4,18,16206,06
2002-04-19,2002,4,19,45658,58
2002-04-20,2002,4,20,26478,78
2002-04-21,2002,4,21,31686,86
2002-04-22,2002,4,22,34906,06
2002-04-23,2002,4,23,37479,79
2002-04-24,2002,4,24,64900,00
2002-04-25,2002,4,25,10269,69
2002-04-26,2002,4,26,14173,73
2002-04-27,2002,4,27,32522,22
2002-04-28,2002,4,28,33617,17
2002-04-29,2002,4,29,87401,01
2002-04-30,2002,4,30,25716,16
2002-05-01,2002,5,1,68113,13
2002-05-02,2002,5,2,94558,58
