date,province,prize,prize_index,number,last_2_digits,source,crawled_at
2007-01-01,mb,Đặc biệt,1,78376,76,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải nhất,1,27449,49,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải nhì,1,42186,86,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải nhì,2,29415,15,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải ba,1,84955,55,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải ba,2,71443,43,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải ba,3,75760,60,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải ba,4,08322,22,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải ba,5,20663,63,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải ba,6,95400,00,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải tư,1,1777,77,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải tư,2,4700,00,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải tư,3,8060,60,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải tư,4,3434,34,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải năm,1,8855,55,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải năm,2,4180,80,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải năm,3,9300,00,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải năm,4,4360,60,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải năm,5,3818,18,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải năm,6,7942,42,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải sáu,1,175,75,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải sáu,2,016,16,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải sáu,3,438,38,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
2007-01-01,mb,Giải bảy,1,64,64,https://mketqua.net/so-ket-qua,2026-09-06T22:51:41
